entry,DEtall01,lep_flavour,max_eta,minDeltaR_LJ_0,minDeltaR_LJ_1,Meff,DRlj00,min_DRl0b,min_DRlj_new,DPhij0MET,lead_BjetPt,lead_jet_sumBEff,sublead_jet_sumBEff,scale_nom,pileupEventWeight_090,MV2c10_70_EventWeight,JVT_EventWeight,SherpaNJetWeight,EventNumber,RunYear,MET_RefFinal_et,lep_Pt_0,lep_Eta_0,lep_Phi_0,lep_Pt_1,lep_Eta_1,lep_Phi_1,total_charge,Mll01,Ptll01,DRll01,nJets_OR_T,nJets_OR_T_MV2c10_70,HT_lep,HT_jets,lead_jetPt,sublead_jetPt,lepSFTrigTight,lepSFObjTight,weightS
751,-1.8000304,1,1.6241636,0.75737375,1.5044636,675835.3,2.7903209,0.75737375,2.095144,2.2265265,38026.305,1.0,3.0,8.055111e-08,0.37784168124198914,0.9675061702728271,0.9332799315452576,1.0,9369014,2017,70735.96,73336.266,-1.6241636,-0.8687483,72973.555,0.17586674,0.9755841,2,190137.56,88385.55,2.577144,4,1,146309.81,193664.84,92228.13,38026.305,0.92029655,0.96280324,0.0010668966166935813
752,0.9618763,0,0.62956995,1.099013,0.9243663,1215161.6,1.099013,1.7030525,0.63941675,2.6047254,69286.27,0.0,0.0,8.055111e-08,1.1261320114135742,0.9535650610923767,0.9386363625526428,1.0,9367692,2017,92345.07,186046.28,0.33230636,1.9308546,113362.74,-0.62956995,-0.71877867,2,316899.72,101416.15,2.8188229,6,2,299409.03,319847.38,75727.53,69434.42,0.99647653,0.96751106,0.0034295843115212774
753,0.0906945,3,0.10688927,1.435111,0.7032641,772368.1,2.4815967,1.496915,0.7390713,1.1621014,127713.28,4.0,4.0,8.055111e-08,0.37784168124198914,0.973031759262085,0.948186457157135,1.0,9370489,2017,31285.824,68000.78,0.10688927,1.5651698,50843.484,0.01619477,0.39592043,2,65120.664,99557.836,1.1727616,4,2,118844.266,271391.6,127713.28,78185.234,0.9542388,0.9272856,0.001088635949516257
754,-2.315205,0,1.3483889,1.0373698,2.4830604,944256.9,2.8356452,1.7832104,1.4515793,0.42149732,56409.09,1.0,0.0,8.055111e-08,1.1563247442245483,0.9847018718719482,0.9581681489944458,1.0,9367507,2017,59494.6,82609.08,-1.3483889,-1.4047468,24303.133,0.9668162,-2.0360856,2,131485.73,103228.97,2.3997424,4,1,106912.21,257404.73,85693.98,58768.24,1.0,0.9368037,0.0036070849693546053
755,0.21839994,2,1.0960096,0.9706294,1.4827076,960442.1,2.9009216,1.9947857,1.1555991,0.5900145,108878.72,4.0,4.0,-8.055111e-08,1.1583366394042969,0.9747442603111267,0.9656720757484436,1.0,8605170,2017,70941.23,91808.625,-0.87760967,2.2149675,52272.305,-1.0960096,0.2434502,-2,116498.85,86122.99,1.9835774,5,2,144080.94,311534.34,108878.72,71827.734,0.87246835,0.9685508,-0.003251686769057717
756,0.84598625,3,1.3001626,0.47387812,0.76970804,869116.5,0.47387812,2.0267396,0.8180119,2.579139,68446.79,0.0,0.0,8.055111e-08,1.0096333026885986,0.9779370427131653,0.9899280071258545,1.0,8605747,2017,82119.31,45165.234,-0.45417634,2.0700245,42636.27,-1.3001626,1.814541,-2,39842.617,87086.7,0.88372195,4,1,87801.5,302977.44,105797.73,78795.8,0.9899809,0.95339656,0.0032558172836937506
757,2.1018353,1,1.904369,1.0161365,1.1928902,1032907.4,2.8228555,2.8228555,0.89241517,3.0510893,199140.81,4.0,0.0,8.055111e-08,1.080404281616211,0.9468161463737488,1.0,1.0,9373489,2017,184708.7,74274.9,0.19746636,-2.0308526,50241.836,-1.904369,1.6692185,-2,193171.75,41371.023,3.3301938,4,1,124516.734,387046.53,199140.81,82596.01,0.99154705,0.9706604,0.0034746738693190314
758,0.9037667,1,0.56448066,0.69119835,1.3072063,1290640.0,2.7017832,0.69119835,0.5276302,2.2694573,146098.73,0.0,4.0,8.055111e-08,-0.8960457444190979,1.0180357694625854,1.1834381818771362,1.0,9372539,2017,133477.75,85235.66,0.33928603,-3.045847,22628.871,-0.56448066,0.53824157,2,95022.49,65506.86,2.846387,4,2,107864.53,502371.44,155878.97,146098.73,0.91035724,0.94240624,-0.003268663851288624
759,2.1062665,3,1.2149531,0.29025644,1.1883336,1196258.8,2.5832653,0.29025644,0.83688635,0.5341648,92267.52,0.0,4.0,-8.055111e-08,0.8257268667221069,1.015628695487976,0.9688050746917725,1.0,8605056,2017,134199.58,125308.664,0.8913134,0.6463324,23036.154,-1.2149531,-1.3402995,2,162494.22,117901.62,2.8953521,6,2,148344.81,443346.75,110566.58,92267.52,0.96166533,0.9533297,-0.0026287925906192857
760,-0.8702922,0,0.78105193,1.3674326,0.78469676,1953770.0,2.9338315,1.3674326,0.5153342,0.029048625,79182.85,0.0,0.0,8.055111e-08,1.1563247442245483,0.9758134484291077,0.9910780191421509,1.0,9372924,2017,49909.5,353710.06,-0.78105193,-2.981872,76130.4,0.08924023,0.60288185,2,352456.66,286797.75,2.8353026,4,2,429840.47,474639.6,214571.98,125533.734,0.99529684,0.934704,0.003671661647500358
761,-0.21197292,1,0.6436558,1.3871813,1.4771097,1603745.5,2.7720044,3.112828,1.7400963,2.3645499,31266.672,0.0,0.0,1.4428852e-07,1.1115391254425049,0.9383402466773987,0.9590473175048828,1.0,9373150,2017,61697.113,89235.1,0.43168285,0.8523086,77765.516,0.6436558,1.9836504,-2,91033.7,141120.75,1.1510286,7,1,167000.62,597738.4,308162.22,81670.58,0.9449247,0.9702808,0.005797776915378866
