entry,DEtall01,lep_flavour,max_eta,minDeltaR_LJ_0,minDeltaR_LJ_1,Meff,DRlj00,min_DRl0b,min_DRlj_new,DPhij0MET,lead_BjetPt,lead_jet_sumBEff,sublead_jet_sumBEff,scale_nom,pileupEventWeight_090,MV2c10_70_EventWeight,JVT_EventWeight,SherpaNJetWeight,EventNumber,RunYear,MET_RefFinal_et,lep_Pt_0,lep_Eta_0,lep_Phi_0,lep_Pt_1,lep_Eta_1,lep_Phi_1,total_charge,Mll01,Ptll01,DRll01,nJets_OR_T,nJets_OR_T_MV2c10_70,HT_lep,HT_jets,lead_jetPt,sublead_jetPt,lepSFTrigTight,lepSFObjTight,weightS
3130,0.7203939,3,0.43863186,0.3777641,0.81284094,735189.1,0.3777641,0.3777641,0.6079576,1.4628117,83019.88,3.0,4.0,4.520901e-08,1.038770079612732,1.0976673364639282,0.9535744786262512,1.0,290111,2016,44323.75,58064.02,0.28176203,-0.61020046,52020.234,-0.43863186,2.9260008,2,115127.37,22378.48,2.8398747,5,2,110084.25,259824.94,83019.88,74947.02,0.94215053,0.95259225,0.0015914707303684732
3131,-1.0644594,1,1.093044,0.4739971,0.53840244,1753691.2,2.8927932,0.9682924,1.016722,0.4239488,103401.09,0.0,4.0,4.520901e-08,0.9459123611450195,0.9558437466621399,0.9590473175048828,1.0,290836,2016,159275.4,253165.89,0.028584633,3.0337043,158991.12,1.093044,-0.22328277,-2,458856.22,96975.62,3.207951,5,1,412157.0,387542.4,172299.75,103401.09,0.9822903,0.98309594,0.0013656522695997193
3132,0.14733085,3,0.15063302,0.6214023,1.2098272,940259.2,2.941134,2.941134,1.2596089,0.19729944,60269.938,4.0,0.0,4.520901e-08,1.0419081449508667,0.9881315231323242,0.9145746827125549,1.0,291694,2016,88099.83,113121.93,0.15063302,-1.3895605,110483.65,0.0033021786,1.9394337,-2,223218.89,21085.613,2.9578626,6,1,223605.58,246817.14,60269.938,42893.5,0.976164,0.94688195,0.0014194120895051896
3133,-1.2941823,3,1.2018172,1.3768061,0.49798197,1127000.2,3.0690773,1.3768061,1.1673709,2.4137354,57050.555,0.0,0.0,4.520901e-08,1.109161138534546,0.9742645621299744,0.9712142944335938,1.0,290610,2016,121209.695,122896.086,-0.092365116,0.35808474,83038.945,1.2018172,-1.0460219,-2,191414.72,159327.88,1.909561,5,2,205935.03,277978.8,69709.32,63421.367,0.96483403,0.9503903,0.001569523189529473
3134,1.3632818,2,0.95447445,0.42800716,1.5659076,1124621.9,0.42800716,0.566113,0.89221543,2.5296474,128259.72,0.0,4.0,4.520901e-08,0.9113680124282837,0.989950954914093,0.9656720161437988,1.0,290112,2016,156104.8,25889.088,0.95447445,-1.0082593,22287.871,-0.40880737,-1.599022,-2,38009.68,46102.395,1.4857786,5,2,48176.96,488329.7,164280.11,128259.72,0.9183427,0.93874377,0.0012249418627011898
3135,0.19191512,3,0.5113663,0.18565243,1.1365492,748078.5,1.7537242,1.7537242,1.5018705,2.025414,66573.56,3.0,4.0,4.520901e-08,0.9809321165084839,0.9703543782234192,0.9052678942680359,1.0,290831,2016,18684.625,122285.984,-0.31945118,2.2350326,33423.543,-0.5113663,-2.1211104,2,105718.67,114978.62,1.9365752,5,2,155709.53,210939.69,66573.56,56181.61,0.97247714,0.9500582,0.0012983822888790089
3136,-0.98645306,3,1.9222739,0.86186194,1.6102939,610910.9,2.8571768,2.8571768,0.51367396,2.3255641,99381.586,4.0,0.0,4.520901e-08,1.1897032260894775,1.043229103088379,0.9186596870422363,1.0,293700,2016,31844.031,43288.293,0.9358208,-1.0027748,33321.652,1.9222739,-0.4257901,2,44590.09,73498.67,1.142804,4,1,76609.945,200511.11,99381.586,44937.586,0.9909348,0.95259666,0.0017553092613913077
3137,-1.1954007,0,0.63682616,0.48201442,0.739668,1433200.6,0.65381914,0.65381914,1.3518435,2.3568912,93331.164,4.0,0.0,4.520901e-08,0.000290209281956777,0.9768065214157104,0.9910780191421509,1.0,293040,2015,92764.88,161989.0,-0.5585746,1.0629414,131561.94,0.63682616,-1.5437422,2,336972.03,82943.5,2.8677137,5,2,293550.94,357897.06,93331.164,72210.22,0.99060416,1.0130761,4.5982906322830243e-07
3138,1.6408061,2,1.6800569,1.3230392,0.8999535,698360.2,2.2626019,2.2626019,0.9294398,2.2388546,72882.99,4.0,1.0,4.520901e-08,1.038770079612732,1.009191632270813,0.9145746827125549,1.0,293276,2016,40394.77,72930.05,1.6800569,2.627033,49346.96,0.039250866,-0.018073106,-2,159981.39,37751.918,3.1126888,6,1,122277.01,255073.08,72882.99,47016.77,0.99772316,0.96083814,0.0014989911044080051
3139,-0.4938287,2,1.1365658,0.5488905,1.445589,1910541.5,0.5488905,0.5488905,1.9290873,2.6144779,313290.56,4.0,0.0,4.520901e-08,0.7534135580062866,1.0093657970428467,1.2153382301330566,1.0,293808,2016,155217.88,159045.53,-1.1365658,1.1877005,37878.43,-0.6427371,-0.45627078,-2,120120.51,160777.4,1.7165396,4,1,196923.97,639595.5,313290.56,188830.61,0.917612,0.9652694,0.0013350985364169404
3140,0.96208024,1,1.6520327,0.48017028,0.7420704,945572.94,0.48017028,1.2431047,1.3145154,0.432347,51316.402,0.0,0.0,4.520901e-08,1.1979961395263672,0.9636375308036804,0.924953281879425,1.0,292700,2016,155634.12,64869.473,-0.6899525,1.8334645,32762.387,-1.6520327,-2.092847,2,96860.02,47684.207,2.5456731,6,2,97631.86,296889.84,79352.96,69826.61,0.9732041,0.9481103,0.0016068606595531223
3141,0.5574229,1,0.991107,1.2589469,0.96575665,870621.7,1.2589468,3.3198802,0.42517477,2.9527223,63587.473,0.0,4.0,4.520901e-08,0.9459123611450195,0.9897441864013672,0.9535744786262512,1.0,292764,2016,60393.113,88892.49,0.991107,0.4463592,29182.678,0.43368414,0.5548411,2,29286.375,117945.95,0.56788075,6,1,118075.17,310396.88,77504.336,63587.473,0.84593946,0.95021373,0.0011703495250430826
3142,-0.46377775,0,0.93195015,0.7098031,0.6261824,944546.8,2.9993873,2.211348,1.0164554,0.68315935,55477.176,0.0,1.0,4.520901e-08,0.8665204048156738,0.9807449579238892,0.926177442073822,1.0,292125,2016,35106.53,37128.523,-0.93195015,1.9851354,33131.703,-0.4681724,2.295865,-2,19677.03,69416.71,0.55824965,5,1,70260.23,388565.38,153321.73,108009.4,0.99335045,0.9370109,0.001194820660958272
3143,-1.4828767,1,1.2010275,1.0321041,1.48248,1269972.1,2.6106057,2.6106057,0.7547471,0.43963602,102530.3,4.0,0.0,4.520901e-08,1.0770055055618286,0.985068142414093,0.9042174220085144,1.0,292193,2016,37628.055,170452.58,-0.28184912,1.6788863,51206.504,1.2010275,-2.6508577,-2,216684.98,158613.8,2.4525204,6,1,221659.08,316576.56,102530.3,82762.54,0.9656505,0.9664437,0.0014600916730761445
